icao,iata,name,callsign,country,active
STO,,Streamline Ops,SLOPS,Russia,N
STP,8F,STP Airways,SAOTOME AIRWAYS,Sao Tome and Principe,Y
STQ,,Star Air,STERA,Indonesia,N
STR,,Red Star,STARLINE,United Arab Emirates,N
STS,SX,Starling Airlines Spain,STARLING,Spain,N
STT,,Air St. Thomas,PARADISE,United States,N
STU,FS,Servicios de Transportes A,FUEGUINO,Argentina,Y
STV,,Southern Aviation,SOUTHERN AVIATION,Ghana,N
STW,,South West Air Corporation,SIERRA WHISKEY,Philippines,N
STX,,Stars Away Aviation,STARSAWAY,South Africa,N
STY,,Styrian Airways,STYRIAN,Austria,N
SUA,,Silesia Air,AIR SILESIA,Czech Republic,N
SUB,,Suburban Air Freight,SUB AIR,United States,N
SUD,SD,Sudan Airways,SUDANAIR,Sudan,Y
SUE,,Aerolineas Del Sureste,AEROSURESTE,Mexico,N
SUF,PI,Sun Air (Fiji),SUNFLOWER,Fiji,N
SUG,,Sunu Air,SUNU AIR,Senegal,N
SUH,,Sun Light,LIGHT AIR,Kyrgyzstan,N
SUI,,Swiss Air Force,SWISS AIR FORCE,Switzerland,N
SUK,,Superior Aviation Services,SKYCARGO,Kenya,N
SUM,,State Unitary Air Enterprise,SUMES,Russia,N
SUN,,Antillana De Navegacion Aerea,,Dominican Republic,N
SUO,,Aeroservicios De San Luis,SERVICIO SANLUIS,Mexico,N
SUP,,Aerosuper,AEROSUPER,Mexico,N
SUR,,Sun Air,,Egypt,N
SUS,EZ,Sun Air of Scandinavia,SUNSCAN,Denmark,N
SUT,,Sistemas Aeronauuticos 2000,SISTEMAS AERONAUTICOS,Mexico,N
SUU,,Star West Aviation,SUNSTAR,United States,N
SUV,,Sundance Air,DANCEAIR,Venezuela,N
SUW,ZA,Interavia Airlines,ASTAIR,Russia,Y
SUY,,Aerial Surveys (1980) Limited,SURVEY,New Zealand,N
SVA,SV,Saudi Arabian Airlines,SAUDIA,Saudi Arabia,Y
SVD,,St. Vincent Grenadines Air (1990),GRENADINES,Saint Vincent and the Grenadines,N
SVE,,Aero Servicios Expecializados,AEROESPECIAL,Mexico,N
SVF,,Swedish Armed Forces,SWEDEFORCE,Sweden,N
SVG,,SVG Air,Grenadines,Saint Vincent and the Grenadines,Y
SVH,,Sterling Helicopters,SILVER,United Kingdom,N
SVI,,Servicios De Transporte Aereo,SETRA,Mexico,N
SVJ,,Silver Air,,Djibouti,N
SVK,GM,Air Slovakia,SLOVAKIA,Slovakia,N
SVL,,Sevastopol-Avia,SEVAVIA,Ukraine,N
SVM,,Aeroservicios Monterrey,SERVIMONTE,Mexico,N
SVN,,Savanair (Angola),SAVANAIR,Angola,N
SVO,,Servicios Aeronauticos De Oriente,SERVIORIENTE,Mexico,N
SVR,U6,Ural Airlines,SVERDLOVSK AIR,Russia,Y
SVS,,Servicios Aereos Saar,AEREOS SAAR,Mexico,N
SVT,,Seven Four Eight Air Services,SIERRA SERVICES,Luxembourg,N
SVW,,Global Jet Luxembourg,SILVER ARROWS,Luxembourg,N
SVX,,Security Aviation,SECURITY AIR,United States,N
SVY,,Cooper Aerial Surveys,SURVEYOR,United Kingdom,N
SWA,WN,Southwest Airlines,SOUTHWEST,United States,Y
SWB,,Swissboogie Parapro,SWISSBOOGIE,Switzerland,N
SWC,,South West Air,SAINT CLAIR,Canada,N
SWD,A4,Southern Winds Airlines,SOUTHERN WINDS,Argentina,Y
SWE,,Swedeways,SWEDELINE,Sweden,N
SWF,,Galair International,GALAIR,United Kingdom,N
SWG,WG,Sunwing Airlines,SUNWING,Canada,N
SWH,,Adler Aviation,SHOCKWAVE,Canada,N
SWI,,Sunworld Airlines,SUNWORLD,United States,N
SWJ,,Stateswest Airlines,STATES,United States,N
SWK,,General Aerospace,SKYWALKER,Canada,N
SWL,,Trans Jet Airways,TRANSJET,Sweden,N
SWM,,Sky Angkor Airlines (ZA),SKY ANGKOR,Cambodia,Y
SWN,PT,West Air Sweden,AIR SWEDEN,Sweden,N
SWO,,Surninam International Victory Airline,SIVA,Suriname,N
SWP,,Star Work Sky,STAR WORK,Italy,N
SWQ,,Swift Air (Interstate Equipment Leasing),SWIFTFLIGHT,United States,N
SWR,LX,Swiss International Air Lines,SWISS,Switzerland,Y
SWS,,Sunwest Aviation (Lindquist Investment),SUNNY WEST,United States,N
SWT,,Swiftair,SWIFT,Spain,N
SWU,,Swiss European Air Lines,EUROSWISS,Switzerland,Y
SWV,WV,Swe Fly,FLYING SWEDE,Sweden,Y
SWW,S8,Shovkoviy Shlyah,WAY AERO,Ukraine,N
SWX,,Swazi Express Airways,SWAZI EXPRESS,Swaziland,N
SWY,,Sky Jet,SWISSLINK,Switzerland,N
SWZ,,Servair, Private Charter,SWISSBIRD,N
SXA,,Southern Cross Aviation,FERRY,United States,N
SXC,,Sky Exec Aviation Services,SKY EXEC,Nigeria,N
SXE,,Southeast Express Airlines,DOGWOOD EXPRESS,United States,N
SXM,,Servicios Aereos Sepecializados Mexicanos,SERVIMEX,Mexico,N
SXP,,Sky Express,EXPRESS SKY,Poland,N
SXR,XW,Sky Express,SKYSTORM,Russia,Y
SXS,XQ,SunExpress,SUNEXPRESS,Turkey,Y
SXT,,Servicios De Taxi Aereo,SERTA,Mexico,N
SXX,,Satellite Aero,SATELLITE EXPRESS,United States,N
SXY,,Safari Express Cargo,SAFARI EXPRESS,Kenya,N
SYA,,Skyways,LINEAS CARDINAL,Argentina,N
SYC,,Systec 2000,SYSTEC,United States,N
SYE,,Sheba Aviation,,Yemen,N
SYF,,Sky One Express Airlines,SKY FIRST,United States,N
SYG,,Synergy Aviation,SYNERGY,United Kingdom,N
SYI,,Sonalysts,,United States,N
SYJ,,Slate Falls Airways,,Canada,N
SYK,,Satsair,AEROCAB,United States,N
SYL,R3,Aircompany Yakutia,AIR YAKUTIA,Russia,Y
SYN,,Syncrude Canada,SYNCRUDE,Canada,N
SYR,RB,Syrian Arab Airlines,SYRIANAIR,Syrian Arab Republic,Y
SYS,,Shawbury Flying Training Unit,SHAWBURY,United Kingdom,N
SYT,,Aerosud Aviation,SKYTRACK,South Africa,N
SYV,,Special Aviation Systems,SPECIAL SYSTEM,United States,N
SYX,AL,Skywalk Airlines,SKYWAY-EX,United States,Y
SYY,,South African Historic Flight,SKY COACH,South Africa,N
SZA,,Aerolineas De El Salvador,AESA,El Salvador,N
SZB,,Aerolineas heredas santa maria,,Dominican Republic,Y
SZL,,Swaziland Airlink,SWAZILINK,Swaziland,N
SZT,,Servicios Aeronauticos Z,AERO ZEE,Mexico,N
SZZ,,SUR Lineas Aereas,,Argentina,Y
TAA,,Aeroservicios de La Costa,AERO COSTA,Mexico,N
TAC,,Turbot Air Cargo,TURBOT,Senegal,N
TAD,,Tranporte Aereo Dominicano,TRANS DOMINICAN,Dominican Republic,N
TAE,EQ,TAME,TAME,Ecuador,Y
TAG,,TAG Aviation USA,TAG U-S,United States,N
TAH,,Air Moorea,AIR MOOREA,France,Y
TAJ,,Tunisavia,TUNISAVIA,Tunisia,N
TAK,U9,Tatarstan Airlines,TATARSTAN,Russia,Y
TAL,,Talair,TALAIR,Papua New Guinea,N
TAM,JJ,TAM Brazilian Airlines,TAM,Brazil,Y
TAN,,Zanair,ZANAIR,Tanzania,Y
TAO,VW,Aeromar,TRANS-AEROMAR,Mexico,Y
TAP,TP,TAP Portugal,AIR PORTUGAL,Portugal,Y
TAQ,,Taunus Air Gmbh,Taunusair,Germany,N
TAR,TU,Tunisair,TUNAIR,Tunisia,Y
TAS,,Lotus Air,LOTUS FLOWER,Egypt,N
TAT,TA,Grupo TACA,TACA-COSTARICA,Costa Rica,Y
TAU,,Transportes Aereos Tauro,TRANSTAURO,Mexico,N
TAV,,Compania de Servicios Aereos Tavisa,TAVISA,Spain,N
TAX,,Travelair,TRAVELAIR,Germany,N
TAY,3V,TNT Airways,QUALITY,Belgium,N
TBA,,Transbrasil,TRANSBRASIL,Brazil,N
TBC,,Turbine Air Cargo UK,,United Kingdom,N
TBD,,Thunderbird Tours,ORCA,Canada,N
TBG,M7,Tropical Airways,,Haiti,N
TBH,,Trinity Air Bahamas,,Bahamas,N
TBI,,TAB Express International,TAB INTERNATIONAL,United States,N
TBL,,Aerotrebol,AEROTREBOL,Mexico,N
TBM,,Taban Air Lines,TABAN AIR,Iran,N
TBN,,Teebah Airlines,TEEBAH,Sierra Leone,N
TBO,,Aero Taxi de Los Cabos,AERO CABOS,Mexico,N
TBR,,Tubelair,TUBELAIR,Tunisia,N
TBS,,Servicios Aereos Tribasa,TRIBASA,Mexico,N
TBX,,Tobago Express,TABEX,Trinidad and Tobago,N
TBZ,TB,TrasBrasil,,Brazil,Y
TCA,,Tropican Air Services,TROPICANA,Egypt,N
TCB,,Transporte del Caribe,TRANSCARIBE,Colombia,N
TCC,,Trans Continental Airlines,TRANSCAL,Sudan,N
TCD,,Tchad Airlines,TCHADLINES,Chad,N
TCE,,Trans-Colorado Airlines,TRANS-COLORADO,United States,N
TCF,S5,Shuttle America,MERCURY,United States,Y
TCG,T2,Thai Air Cargo,THAI CARGO,Thailand,Y
TCH,,Transcontinental Air,TRANS GULF,Bahrain,N
TCI,JY,Air Turks and Caicos,KERRMONT,Turks and Caicos Islands,N
TCL,,Coastal Air Transport,TRANS COASTAL,United States,N
TCM,,Teledyne Continental Motors,TELEDYNE,United States,N
TCN,,Trans Continental Airlines,TRANSCON,United States,N
TCO,,Aerotranscolombina de Carga,TRANSCOLOMBIA,Colombia,N
TCP,,Transcorp Airways,TRANSCORP,United Kingdom,N
TCR,,Lanaes Aereas Trans Costa Rica,TICOS,Costa Rica,N
TCT,,Transcontinental Sur,TRANS-CONT,Uruguay,N
TCU,,Transglobal Airways Corporation,TRANSGLOBAL,Philippines,N
TCV,VR,TACV,CABOVERDE,Portugal,Y
TCW,FQ,Thomas Cook Airlines,THOMAS COOK,Belgium,Y
TCX,MT,Thomas Cook Airlines,KESTREL,United Kingdom,Y
TCY,,Twin Cities Air Service,TWIN CITY,United States,N
TDA,,TDA Toa Domestic Airlines,Toa Domes,Japan,N
TDB,,Welch Aviation,THUNDER BAY,United States,N
TDC,,Tadair,TADAIR,Spain,N
TDE,,Tellavia / Flight One,TELLURIDE,United States,N
TDG,,Air Cargo Express,TURBO DOG,United States,N
TDI,,Transportes Aereos de Ixtlan,TRANSIXTLAN,Mexico,N
TDK,,Transavia Denmark,,Denmark,Y
TDM,TQ,Tandem Aero,TANDEM,Moldova,N
TDO,,TRADO,TRADO,Dominican Republic,N
TDR,,Trade Air,TRADEAIR,Croatia,N
TDT,,Atlas Helicopters,TRIDENT,United Kingdom,N
TDV,,Taxi Aero Nacional Del Evora,TAXI EVORA,Mexico,N
TDX,,Tradewinds Airlines,TRADEWINDS EXPRESS,United States,N
TDY,,Air Today,AIR TODAY,United States,N
TEA,,Executive Turbine Aviation,TRAVELMAX,South Africa,N
TEB,,Tenir Airlines,TENIR AIR,Kyrgyzstan,N
TED,,Aero Servicios Azteca,AEROAZTECA,Mexico,N
TEE,,West Freugh DTEO,TEEBIRD,United Kingdom,N
TEF,,Tecnicas Fotograficas,TECFOTO,Spain,N
TEH,,Tempelhof Airways,TEMPELHOF,United States,N
TEL,,Telford Aviation,TELFORD,United States,N
TEM,,Tech-Mont Helicopter Company,TECHMONT,Slovakia,N
TEN,,Tennessee Airways,TENNESSEE,United States,N
TEP,UE,Transeuropean Airlines,TRANSEURLINE,Russia,N
TER,,Territorial Airlines,TERRI-AIRE,United States,N
TES,,TAES Transportes Aereos de El Salvador,TAES,El Salvador,N
TET,,Tepavia-Trans Airlines,TEPAVIA,Moldova,N
TEX,,Catex,CATEX,France,N
TEZ,,Tez Jet Airlines,,Kyrgyzstan,Y
TFA,,Trans-Florida Airlines,TRANS FLORIDA,United States,N
TFB,,Tair Airways,ROYAL TEE-AIR,Philippines,N
TFF,,Talon Air,TALON FLIGHT,United States,N
TFG,,MAS Airways,TRAFALGAR,United Kingdom,N
TFH,,Thai Flying Helicopter Service,THAI HELICOPTER,Thailand,N
TFI,,Transport Facilitators,,United States,N
TFK,,Transafrik International,,Sao Tome and Principe,N
TFL,OR,Arkefly,ARKEFLY,Netherlands,Y
TFN,,Norwegian Aviation College,SPRIT,Norway,Y
TFO,,Transportes Aereos del Pacifico,TRANSPORTES PACIFICO,Mexico,N
TFT,,Thai Flying Service,THAI FLYING,Thailand,N
TFU,,213 Flight Unit,,Russia,N
TFY,,Tayside Aviation,TAYSIDE,United Kingdom,N
TGA,YT,Air Togo,AIR TOGO,Togo,N
TGC,,TG Aviation,THANET,United Kingdom,N
TGE,,Trabajos Aereos,TASA,Spain,N
TGI,,Transportes Aereos Regionales,TRANSPORTE REGIONAL,Mexico,N
TGM,,TAG Aviation Espana,TAG ESPANA,Spain,N
TGN,,Trigana Air Service,TRIGANA,Indonesia,Y
TGO,,Transport Canada,TRANSPORT,Canada,N
TGT,,SAAB Nyge Aero,TARGET,Sweden,N
TGW,TR,Tiger Airways,GO CAT,Singapore,Y
TGX,,Transair Gabon],TRANSGABON,Gabon,N
TGY,,Trans Guyana Airways,TRANS GUYANA,Guyana,N
TGZ,A9,Georgian Airways,TAMAZI,Georgia,Y
THA,TG,Thai Airways International,THAI,Thailand,Y
THB,,Spark Air,THAI SABAI,Thailand,N
THC,,Tar Heel Aviation,TARHEEL,United States,N
THD,,611897 Alberta Limited,DONUT,Canada,N
THE,,Toumai Air Tchad,TOUMAI AIR,Chad,N
THF,,Touraine Helicoptere,TOURAINE HELICO,France,N
THG,,Thai Global Airline,THAI GLOBAL,Thailand,N
THI,TI,TransHolding,,Brazil,Y
THJ,,Thai Jet Intergroup,THAI JET,Thailand,N
THK,,Turk Hava Kurumu Hava Taksi Isletmesi,HUR KUS,Turkey,Y
THM,,Airmark Aviation,THAI AIRMARK,Thailand,N
THN,,International Security Assistance Force,ATHENA,Canada,N
THO,,TACA De Honduras,LEMPIRA,Honduras,N
THR,,Tehran Airline,TEHRAN AIR,Iran,N
THS,TH,TransBrasil Airlines,,Brazil,Y
THT,TN,Air Tahiti Nui,TAHITI AIRLINES,France,Y
THU,,Thunder Airlines,AIR THUNDER,Canada,N
THY,TK,Turkish Airlines,TURKAIR,Turkey,Y
THZ,,Trans Helicoptere Service,LYON HELIJET,France,N
TIA,,Trans International Airlines,TRANS INTERNATIONAL,United States,N
TIB,8R,TRIP Linhas A,TRIP,Brazil,Y
TIC,,Travel International Air Charters,TRAVEL INTERNATIONAL,Zambia,N
TIE,,Time Air,TIME AIR,Czech Republic,N
TIH,,S C Ion Tiriac,TIRIAC AIR,Romania,N
TIK,,Tic Air,TICAIR,Australia,N
TIL,,Tajikistan International Airlines,TIL,Tajikistan,Y
TIM,,TEAM Transportes Aereos,TEAM BRASIL,Brazil,N
TIN,,Taino Tours,TAINO,Dominican Republic,N
TIP,,C and M Aviation,TRANSPAC,United States,N
TIR,,Antair,ANTAIR,Mexico,N
TIS,,Tesis,TESIS,Russia,N
TIW,,Transcarga Intl Airways,TIACA,Venezuela,N
TJA,TJ,T.J. Air,T.J. Air,United States,Y
TJK,,Tajikair,TAJIKAIR,Tajikistan,N
TJN,,Tien-Shan,NERON,Kazakhstan,N
TJS,,Tyrolean Jet Service,TYROLJET,Austria,N
TJT,T7,Twin Jet,TWINJET,France,Y
TKC,,Tikal Jets Airlines,TIKAL,Guatemala,N
TKE,,Take Air Line,ISLAND BIRD,France,N
TKR,,Canadian Interagency Forest Fire Centre,TANKER,Canada,N
TKS,,Tomsk-Avia,,Russia,Y
TKX,,Tropical International Airways,TROPEXPRESS,Saint Kitts and Nevis,N
TKY,9I,Thai Sky Airlines,THAI SKY,Thailand,N
TLA,,Translift Airways,TRANSLIFT,Ireland,Y
TLB,,Atlantique Air Assistance,TRIPLE-A,France,N
TLC,,Caribbean Express,CARIB-X,United States,N
TLD,,Aero Taxi Autlan,AEREO AUTLAN,Mexico,N
TLE,,Aero Util,AEROUTIL,Mexico,N
TLF,,Transport Africa,TRANS-LEONE,Sierra Leone,N
TLL,,Trans Atlantic Airlines,ATLANTIC LEONE,Sierra Leone,N
TLM,9F,Tramm Airlines,9F,Netherlands Antilles,N
TLO,,Eagle Canyon Airlines,TALON AIR,United States,N
TLP,TD,Tulip Air,TULIPAIR,Netherland,N
TLR,,Air Libya Tibesti,AIR LIBYA,Libya,N
TLS,,TLC Air,TEALSY,United States,N
TLT,,Turtle Airways,TURTLE,Fiji,N
TLU,,Aero Toluca Internactional,AEROTOLUCA,Mexico,N
TLV,,Travelair,PAJAROS,Uruguay,N
TLW,L9,Teamline Air,Teamline,Austria,N
TLX,,Telesis Transair,TELESIS,United States,N
TLY,,Top-Fly,TOPFLY,Spain,N
TMA,TL,Trans Mediterranean Airlines,TANGO LIMA,Lebanon,Y
TMD,,Transmed Airlines,,Egypt,N
TME,,Aero Taxi del Centro de Mexico,TAXICENTRO,Mexico,N
TMG,GY,Tri-MG Intra Asia Airlines,TRILINES,Indonesia,N
TMH,,Taxis Turisticos Marakame,TAXIMARAKAME,Mexico,N
TMI,,Tamir Airways,TAMIRWAYS,Israel,N
TMK,,Tomahawk Airways,TOMAHAWK,United States,N
TML,,TAM,TAM AIRLINE,Madagascar,N
TMM,,TMC Airlines,WILLOW RUN,United States,N
TMP,,Arizona Express Airlines,TEMPE,United States,N
TMQ,,TRAM,TRAM AIR,Mauritania,N
TMR,,Timberline Air,TIMBER,Canada,N
TMS,,Temsco Helicopters,TEMSCO,United States,N
TMT,,Trans Midwest Airlines,TRANS MIDWEST,United States,N
TMW,M8,Trans Maldivian Airways,,Maldives,N
TMX,,Tramon Air,TRAMON,South Africa,N
TMY,,Transportes Aereos del Mundo Maya,MUNDO MAYA,Mexico,N
TMZ,,Tranporte Amazonair,TRANS AMAZON,Venezuela,N
TNA,GE,TransAsia Airways,TransAsia,Taiwan,Y
TNB,,Trans Air-Benin,TRANS-BENIN,Benin,N
TNC,,National Aviation Consultants,NATCOM,Canada,N
TND,,Aero Taxis Cessna,TAXIS CESSNA,Mexico,N
TNE,,Taxis Aereos del Noroeste,TAXINOROESTE,Mexico,N
TNF,,Transafricaine,TRANSFAS,Burkina Faso,N
TNG,,Tennessee Air National Guard 164th Airlift Group,,United States,N
TNI,,Transair International Linhas Aereas,TRANSINTER,United States,N
TNL,,Tengeriyn Ulaach Shine,SKY HORSE,Mongolia,N
TNM,3P,Tiara Air,TIARA,Aruba,Y
TNO,,Aerotransporte de Carga Union,AEROUNION,Mexico,N
TNP,,Transped Aviation,TRANSPED,Austria,N
TNR,,Tanana Air Services,TAN AIR,United States,N
TNS,,Transilvania,,Romania,Y
TNT,,Trans North Turbo Air,TRANS NORTH,Canada,N
TNU,M8,TransNusa Air,TRANSNUSA,Indonesia,Y
TNV,,Transnorthern,TRANSNORTHERN,United States,N
TNW,,Trans Nation Airways,TRANS-NATION,Ethiopia,N
TNX,,Trener Ltd,TRAINER,Hungary,N
TNY,,Twin Town Leasing Company,TWINCAL,United States,N
TOB,7T,Tobruk Air,TOBRUK AIR,Libya,N
TOC,,Aerotropical,TROPICMEX,Mexico,N
TOF,,RAF Topcliffe Flying Training Unit,TOPCLIFFE,United Kingdom,N
TOH,,Air Tomisko,TOMISKO CARGO,Serbia,N
TOJ,,TOJ Airlines,TOJ AIRLINE,Tajikistan,N
TOK,CG,Airlines PNG,BALUS,Papua New Guinea,Y
TOL,TI,Tol-Air Services,TOL AIR,United States,N
TOM,BY,Thomsonfly,TOMSON,United Kingdom,Y
TON,,Aero Tanala,AEROTANALA,Mexico,N
TOP,,Top Air,AIR TOP,Turkey,N
TOR,,Toronto Airways,TORONTAIR,Canada,N
TOS,PM,Tropic Air,TROPISER,Belize,Y
TOT,,Totavia,,Canada,N
TOW,FF,Tower Air,TEE AIR,United States,N
TOX,,Neosiam Airways,SKY KINGDOM,Thailand,N
TOY,,Toyota Canada,TOYOTA,Canada,N
TPA,QT,TAMPA,TAMPA,Colombia,Y
TPB,,Aero Tropical,AERO TROPICAL,Angola,N
TPC,TY,Air Cal,AIRCAL,France,N
TPD,,Top Speed,TOP SPEED,Austria,N
TPF,,Taxis Aereos del Pacifico,TAXIPACIFICO,Mexico,N
TPG,,Transportes Aereos Pegaso,TRANSPEGASO,Mexico,N
TPK,,Air Horizon,TCHAD-HORIZON,Chad,N
TPL,,TAR Interpilot,INTERPILOT,Mauritania,N
TPM,,Transpais Aereo,TRANSPAIS,Mexico,N
TPN,,Transportacion Aerea del Norte,AEREA DELNORTE,Mexico,N
TPO,,Aero Taxi del Potosi,TAXI-POTOSI,Mexico,N
TPP,,Transpac Express,TRANS EXPRESS,Australia,N
TPR,,Taxis Aereos De Parral,TAXIS PARRAL,Mexico,N
TPS,,TAPSA Transportes Aereos Petroleros,TAPSA,Argentina,N
TPT,,Transportes Aereo del Sureste,TASSA,Mexico,N
TPU,,Trans American Airlines (Trans Am),TRANS PERU,Peru,N
TPV,,Thai Pacific Airlines Business,THAI PACIFIC,Thailand,N
TPX,,Transportes Aereos De Xalapa,TRANSXALAPA,Mexico,N
TPY,,Trans-Provincial Airlines,TRANS PROVINCIAL,Canada,N
TPZ,,Transportes La Paz,TRANSPAZ,Mexico,N
TQF,,United Kingdom Royal VIP Flights,RAINBOW,United Kingdom,N
TQM,,JM Family Aviation,TACOMA,United States,N
TQN,,Taquan Air Services,TAQUAN,United States,N
TQR,,Transportacion Aerea De Queretaro,TRANSQUERETARO,Mexico,N
TQS,,Aeroturquesa,AEROTURQUESA,Mexico,N
TRA,HV,Transavia Holland,TRANSAVIA,Netherlands,Y
TRB,,Ukraine Transavia,KIROVTRANS,Ukraine,N
TRC,,Trans Air Charter,TRACKER,United States,N
TRD,,Trans Island Air,TRANS ISLAND,Barbados,N
TRF,,Taxi Air Fret,TAXI JET,France,N
TRG,,TRAGSA (Medios Aereos),,Spain,N
TRH,,Airmark Aviation,TRANSTAR,United States,N
TRI,,Executive Flight Operations Ontario Government,TRILLIUM,Canada,N
TRJ,,Trans Euro Air,HIGH TIDE,United Kingdom,N
TRK,,Turkuaz Airlines,TURKU,Turkey,Y
TRL,,Starlite Aviation,STARSTREAM,South Africa,N
TRM,,Transport Aerien de Mauritanie,SOTRANS,Mauritania,N
TRN,,Servicios Aereos Corporativos,AEROTRON,Mauritania,N
TRO,,Tropic Airlines-Air Molokai,MOLOKAI,United States,N
TRP,,Maryland State Police,TROOPER,United States,N
TRQ,,Turdus Airways,HUNTER,Netherland,N
TRR,,Tramson Limited,TRAMSON,Sudan,N
TRS,FL,AirTran Airways,CITRUS,United States,Y
TRT,,Trans Arabian Air Transport,TRANS ARABIAN,Sudan,N
TRU,,Triangle Airline (Uganda),TRI AIR,Uganda,N
TRW,,Transwestern Airlines of Utah,TRANS-WEST,United States,N
TRY,,Tristar Airlines,TRISTAR AIR,United States,N
TRZ,T9,TransMeridian Airlines,TRANS-MERIDIAN,United States,N
TSA,,Transair France,AIRTRAF,France,N
TSC,TS,Air Transat,TRANSAT,Canada,Y
TSD,,TAF-Linhas Aereas,TAFI,Brazil,N
TSE,TH,Transmile Air Services,TRANSMILE,Malaysia,N
TSG,,Trans-Air-Congo,TRANS-CONGO,Republic of the Congo,N
TSH,,Regional 1,TRANSCANADA,Canada,N
TSI,,Transport'air,TRANSPORTAIR,France,N
TSJ,S5,Trast Aero,TRAST AERO,Kyrgyzstan,N
TSK,,Trast Aero,TOMSK-AVIA,Kyrgyzstan,N
TSL,,Thai Aviation Services,THAI AVIATION,Thailand,N
TSM,,Trans Sayegh Airport Services,,Lebanon,N
TSN,,Trans-Air Services,AIR TRANS,Nigeria,N
TSO,UN,Transaero Airlines,TRANSOVIET,Russia,Y
TSP,,Transportes Aereos Inter,TRANSPO-INTER,Guatemala,N
TSQ,,airtransse,AIRTRA,Japan,N
TSR,,Trans Service Airlift,TRANS SERVICE,Democratic Republic of Congo,N
TSS,,Tri-State Aero,TRI-STATE,United States,N
TST,,TRAST,TRAST,Kazakhstan,N
TSU,,Gulf & Caribbean Cargo / Contract Air Cargo,TRANSAUTO,United States,N
TSV,,Tropair Airservices,TROPIC,United Kingdom,N
TSW,,Transwings,SWISSTRANS,Switzerland,N
TSX,T9,Thai Star Airlines,THAI STAR,Thailand,N
TSY,,Tristar Air,TRIPLE STAR,Egypt,N
TTA,,TTA - Sociedade de Transporte e Trabalho Aereo,KANIMANBO,Mozambique,N
TTB,,Aerolineas Turisticas del Caribe,AERO TURISTICAS,Mexico,N
TTC,,Transteco,TRANSTECO,Angola,N
TTE,,Avcenter,TETON,United States,N
TTF,,224th Flight Unit,CARGO UNIT,Russia,N
TTH,,Tarhan Tower Airlines,,Turkey,N
TTL,,Total Linhas Aereas,TOTAL,Brazil,N
TTM,,Societe Tout Tranport Mauritanien,TOUT-AIR,Mauritania,N
TTP,,Triple O Aviation,MIGHTY WING,Nigeria,N
TTR,,Transportaciones Y Servicios Aereos,TRANSPORTACIONES,Mexico,N
TTS,,Transporte Aereo Tecnico Ejecutivo,TECNICO,Mexico,N
TTZ,,Transair,,Canada,Y
TUA,T5,Turkmenistan Airlines,TURKMENISTAN,Turkmenistan,Y
TUB,TB,TUI Airlines Belgium,BEAUTY,Belgium,N
TUC,,Turismo Aereo de Chile,TURICHILE,Chile,N
TUD,,Flight Alaska,TUNDRA,United States,N
TUI,UG,Tuninter,,Tunisia,Y
TUK,,Ocean Wings Commuter Service,TUCKERNUCK,United States,N
TUL,,Tulpar Air,URSAL,Russia,N
TUM,,Tyumenspecavia,TUMTEL,Russia,N
TUN,,Air Tungaru,TUNGARU,Kiribati,N
TUO,,Taxi Aereo Turistico,TURISTICO,Mexico,N
TUP,,Aviastar-Tu,TUPOLEVAIR,Russia,N
TUR,,ATUR,,Ecuador,Y
TUS,M3,ABSA - Aerolinhas Brasileiras,ABSA Cargo,Brazil,Y
TUX,,Tulpar Air Service,TULPA,Kazakhstan,N
TUY,LD,Linea Turistica Aerotuy,AEREOTUY,Venezuela,N
TUZ,,Tuna Aero,TUNA,Sweden,N
TVA,,Trans America Airlines,TRANS-AMERICA,United States,N
TVF,TO,Transavia France,FRENCH SUN,France,Y
TVH,,Trabajos Aereos Vascongados,TRAVASA,Spain,N
TVI,,Tiramavia,TIRAMAVIA,Moldova,N
TVJ,,Thai Vietjet Air,THAIVIET JET,Thailand,Y
TVL,,Travel Service,TRAVEL SERVICE,Hungary,N
TVO,,Transavio,TRANS-BALLERIO,Italy,N
TVR,T6,Tavrey Airlines,TAVREY,Ukraine,N
TVS,QS,Travel Service,SKYTRAVEL,Czech Republic,Y
TWA,TW,Trans World Airlines,TWA,United States,N
TWB,TW,Tway Airlines,TWAY AIR,South Korea,Y
TWD,,Turkish Wings Domestic,TWD,Turkey,Y
TWE,,Transwede Airways,TRANSWEDE,Sweden,N
TWF,,247 Jet Ltd,CLOUD RUNNER,United Kingdom,N
TWJ,,Twinjet Aircraft Sales,,United Kingdom,N
TWL,,Tradewinds Aviation,TRADEWINDS CANADA,Canada,N
TWM,,Transairways,,Mozambique,N
TWN,EC,Avialeasing Aviation Company,TWINARROW,Uzbekistan,Y
TWO,,Twente Airlines,COLIBRI,Netherlands,N
TWW,,Trans Air Welwitchia,WELWITCHIA,Angola,N
TXA,,Texair Charter,OKAY AIR,United States,N
TXB,,Bell Helicopter Textron,TEXTRON,Canada,N
TXC,AL,Transaviaexport,TRANSEXPORT,Belarus,N
TXD,,Aerotaxis del Noroeste,TAXI OESTE,Mexico,N
TXE,,Transilvania Express,TRANSAIR EXPRESS,Romania,N
TXF,,Aerotaxis Alfe,ALFE,Mexico,N
TXI,,Aereotaxis,AEREOTAXIS,Mexico,N
TXL,,Taxi Aereo Cozatl,TAXI COZATL,Mexico,N
TXM,,Taxi Aereo de Mexico,TAXIMEX,Mexico,N
